Question,Answer 1,Answer 2,Answer 3,correct
Drivers are strictly prohibited to:,Overtake from the left when there is enough visibility,Travel on the right side of the road when another vehicle is heading towards him from the opposite direction,"Overtake  traveling military or police motorcades, or other processions",3
Drivers are strictly prohibited to:,Move slowly on the left side of the road,Travel in the designated direction,Drive in neutral with the intention to drive the vehicle solely through downforce,3
Drivers are strictly prohibited to:,Check there is no danger before overtaking,Travel in the designated direction,Make a U-turn in the middle of the road in a populated area,3
Drivers are strictly prohibited to:,"Check there is no danger before
overtaking",Travel in the designated direction,"Travel in other than the designated
direction",3
Drivers are strictly prohibited to:,Travel on the right side of the road,"Check there is no danger before
overtaking",Wash their vehicles on the freeway,3
The driver:,Should not take into consideration the condition of the road or the traffic density,Should increase his speed when visibility is low,"Should reduce his speed or stop completely when the conditions surrounding him dictate so, especially when visibility is really bad",3
The driver should:,Take the left,"Overtake from the right on single lane
roads",Overtake from the left,3
"When a driver is passing a vehicle, the driver should:",Keep to the midlde if it is a single lane road,Keep to the left side of the  road as much as possible with other road users around,Keep to the right side of the  road as much as possible with other road users around,3
"Before overtaking, the driver should:",Should not take into consideration driving decorum when in populated areas,"Overtake, even if the driver behind have have already initiated a similar overtake",Check that drivers behind him have not initiated a similar overtake,3
"Before overtaking, the driver should:",Know that he has the right to overtake even if the driver behind him is overtaking him,Not alert the driver that he is about to overtake,Alert the driver he is about to overtake,3
"When overtaking, the driver should:",Not keep to the right immediately before overtaking,"Use the left side of the road, even if it disaccommodate drivers traveling on the opposite direction",Use the left side of the road without disaccommodating drivers traveling on the opposite direction,3
"As an exception to the rule, overtaking from the right is allowed:",If the driver signals that he is moving to the right,Overtaking from the right is not allowed,"On roads that accomomdate more than two lanes, provided that the driver's movement between lanes does accommodate or does not put other road users at risk",3
It is prohibited to overtake:,"A vehicle from the left, if the road is marked with broken
lines",If the road is broken into multiple lanes with broken lines,On bends,3
It is prohibited to overtake:,On single-lane roads,"From the right, whatever the case
may be",On bridges and in tunnels,3
It is prohibited to overtake:,If the left side of the road will be clear after the overtake,"If the vehicle you are overtaking is traveling on the
right side of the road",In case vehicles have stopped because of a traffic obstruction or a sign to do so,3
It is prohibited to overtake:,When the width of the road make for a very easy and safe overtake,If the road is broken into multiple lanes with broken lines,"At the top edge of ascents, when there is not enough visibility ahead, and when the left side of the road will be clear after the takeover",3
"If a police car, ambulance, or fire truck gives a signal of approaching, other road users should:",Stop immediately where they are so as to ease the movement of such vehicle,Increase their speed so as to ease the movement of such vehicle,"Reduce their speed, and if need be, stop or move aside so as to ease the movemen of such vehicle",3
It is prohibited to overtake:,On wide roads,If the road is broken into multiple lanes with broken lines,On narrow or steep mountain road,3
"On approaching an intersection, the driver should:","Keep moving without checking first that the road is
clear",Keep to the right side of the road,Check that the road he is about to cross is clear,3
"A driver who is about to leave the road he is on to another road on the right
should:","Tilt a little to the left but remain on the
road",Keep to the left side of the road,Keep to the right side of the road,3
"A driver who is about to leave the road he is on to another road on the left
should:","Keep to the middle, without tilting left or
right","Tilt a little to the right but remain on
the road","Tilt a little to the left but remain on the
road",3
"When the driver is about to leave on road and get on another one, the driver should:",Titlt slowly to the right,Make the appropriate turn with utmost speed so as not to misaccommodate others,"Make the turn with moderate speed, after having checked that it is possible to do so withoout misaccommodating or putting others at risk",3
"It is best to keep a ""safe Distance"":",From the left and the right sides only,From the front and the end sides only,From all sides of the vehicle,3
"It is important to allow a ""safe distance"" because","It gives other vehicles a chance to
enter the lane","It prevents distraction with
other vehicles","It gives drivers the time to react to what
happens",3
A solid green light at the intersection means:,You should stop and check traffic in the other direction before you carry on,You cannot turn right,You can cross the intersetion if it is posisble,3
A flashing yellow light means:,You can carry on if the road is clear,You should stop and carry on only when the road is clear,Reduce your speed and carry on cautiously,3
A yellow light on the intersection means:,Go ahead,Reduce your speed and be ready to stop,Stop,2
If you have a flat tyre while you're traveling:,Let the steering wheel take the reigns,"Release the accelerator to allow the vehicle to slow down, keep the steering wheel straight, and pull off the road","Press on the brakes to slow down, and pull off the road",2
"If the lights of the vehicle traveling on the opposite direction are bothering you, you should:",Look towards the middle of the road,Look towards the left side of the road,"Look down, and towards the right side of the road",3
In case of vehicle break-down on the highway,Wait inside the vehicle until the road assistance vehicle reaches you,Place the warning triangle and turn on the headlights to warn other drivers,Place the warning triangle and activate all four signal lights to warn other drivers,3
"When you enter a highway, you should:",Slow down,Drive below the speed limit,Drive within the highway traffic speed,3
If the road is marked with one solid line and one broken line:,"The driver may change lanes if the broken line is to the
left","The driver may not change lanes if the broken line is to the
right","The driver may not change lanes if the broken line is to the
left",3
"If a vehicle is pressing behind you, and you are on the left lane on a freeway, you should:",Speed up,"Press the brakes intermittently to drive the other vehicle to move
away","Move to the right lane, and adjust your speed to the traffic speed on that lane",3
"If your brakes stops working while you are on the road, you should:",Turn off the engine,Head directly to a repair shop,"Quickly press on the
brakes with high frequency",3
"In case of bad weather, the driver should:",Drive at the upper speed limit,Drive below the upper speed limit so as to accommodate road conditions,Drive at the upper speed limit and turn on the lights,2
"The driver needs a bigger ""safe
distance"":","Where there are
other cars in front",On dry roads,On wet roads,3
Pavements  are intended:,To put away anything that obstructs the use of the road,"To park vehicles, when parking is allowed","To be used by pedestrians, children trolleys, by the sick and the disabled",3
"Rear brake lights alert other drivers
that you are:",Entering a bend,Changing lanes,"Slowing down or
stopping",3
"On a four-way intersection, the vehicle that goes first is:",The vehicle that arrived first,The vehicle that is turning right,"The vehicle that arrived first and already entered the
intersection",3
You should stop when you see:,A solid yellow light,"A flashing yellow
light",A flashing red light,3
"When you are sharing the road with a truck, it would be good to remember that trucks:",Require a smaller turning radius,Require less time to overtake in descents,"Need a bigger safe distance with other vehicles to be able to
stop",3
"When turning right at the green light, you should:","Slow down to be
able to make the turn",Carry on on the same lane,Give way to pedestrians,3
"You can refrain from taking the drug or
alcohol test:",In emergency cases,If you are under 21,"No, you cannot in any
case it may be",3
"When driving in the fog, you should
turn on the:",High beam,"Hazard lights,
and/or low beam","Hazard lights, and/or
high beam",2
When overtaking on a multiple-lane highway:,No need to give a signal,Keep your eyes on the parallel lane,"Make sure there is enough gap in the lane you want to
move to",3
When you are taking a curve:,Maintain the speed of your veihcle,Increase the speed of your vehicle,Decrease the speed of your vehicle,3
If the traffic lights are not working:,Give the right of way to the driver on the left,Stop and wait until the police gets to the intersection,Act as if you are at an intersection without traffic lights,3
When a truck is trying to overtake your vehicle:,Change lanes,Increase your speed,Maintain or decrease your speed,3
"if you are moving behind a motorcycle, you should:",Allow the motorcycle to use half the lane,Overtake the motorbike on the same lane,Allow the motorbike to use the entire width of the lane,3
If two drivers are approaching an intersection from opposite directions,Each will go on his way without giving priority to the other,The driver coming from the left should give the right of way to the other driver,The driver coming from the right should give the right of way to the other driver,2
"Before overtaking, entering a curve, or being overtaken, you should","Reduce your speed, give a  signal to other drivers, and check the mirrors","Reduce your speed, give a  signal as you take the other lane","Slow down, give enough signal to other road users, and check the mirrors and the blind spots",3
"When overtaking, the driver should:","Disaccommodate drivers traveling on
his right",Use the right side of the road,Use the left side of the road,3
"When a vehicle is turning and a pedestrian is crossing the street, and there is no traffic light, who has the
right of way?",Whomever goes faster and reachs first,The vehicle,The pedestrian,3
Ice forms quickly on roads that:,Are plane,"Have an uneven
surface, with lots of bends",Are shaded,3
Drivers are strictly prohibited to:,Travel in other than the designated direction,Stay awake and in control of their vehicles,Check there is no danger before overtaking,1
Drivers are strictly prohibited to:,Travel on the right side of the road,Wash their vehicles on the higway,"Check there is no danger before
overtaking",2
Drivers are strictly prohibited to:,Travel in the designated direction,Make a U-turn on the high way,"Check there is no danger before
overtaking",2
Common logic dictates that you should not:,Go beyond the upper speed limit of 80 km/hour,Go beyond the indicated speed limit,"Go faster than what is appropriate to the road you are traveling
on",3
You can exit the road to overtake another vehicle,If the vehicle in front is turning left,If the road or pedestrian lane can accomomdate you vehicle,"No, you cannot in any case it may be",3
You can carry on on a yellow light if you are:,"Behind a vehicle that has the right of way (ambulance, civil defence, firetruck)",Turning right,Already in the intersection,3
Drivers are strictly prohibited to:,Travel on the right side of the road,"Repair vehicles on the freeway, except in extreme situations",Check there is no danger before overtaking,2
The driver should keep to the extreme right:,When the driver is traveling below traffic speed,When the driver wants to overtake another vehicle,When the driver has enough visibility ahead,1
"Drivers who have had their drivers' license for more than three years, should not drive under the influence of alcohol where the level of alcohol in their blood exceeds:",0.3 grams/liter,0.4 grams/liter,0.5 grams/liter,3
"In the first three years of having a drivers' license, the level of alcohol in the blood should not exceed:",0 grams/liter,0.3 grams/liter,0.5 grams/liter,1
It is strictly prohibited for drivers to:,Use any communication devices,Use one hand to drive and the other to answer the phone,"Use both hands to drive, and answer the call using bluetooth technology",1
"Where there is no speed limit signs,
the upper speed limit on the freeway is:",80 km/hour,100 km/hour,120 km/hour,2
"Where there is no speed limit signs, the upper speed limit outside
populated areas is:",50 km/hour,60 km/hour,70 km/hour,3
"Where there is no speed limit signs, the upper speed limit inside populated
areas is:",40 km/hour,50 km/hour,60 km/hour,2
"You can reverse on the freeway if the exist is near, provided you do not go
faster than:",10 meters,20 meters,You cannot reverse at all,3
"On a normal road, you place the warning triangle in front or behind the vehicle, depending on the direction of traffic, at the following distance from the vehicle:",20 meters,30 meters,40 meters,2
"On the freeway, you place the warning triangle in front or behind the vehicle, depending on the direction of traffic, at the following distance from the vehicle:",50 meters,60 meters,70 meters,1
Pedestrians should use pavements and pedestrians crossings and paths when they are at a distance of:,130 meters,150 meters,170 meters,2
"When the driver causes an accident, and even if damages are material damages only:","The driver has the right to flee the scene and avoid
responsibility",The driver should carry on driving,The driver should stop and take care of the victim,3
If the brake lights are down:,"The car may be
impounded","This is a Class 2
violation",All of the above,3
The shelf life of tyres does not exceed:,"4 years from manufacturing date or 1.6 mm thread thickness, whichever comes first","5 years from manufacturing date or 1.6 mm thread thickness, whichever comes
last","6 years from manufacturing date or 1.6 mm thread thickness, whichever comes first",3
"When the traffic light is green, but traffic is congested, road users should:",Move slowly so as not to obstruct traffic,Cross the green light quickly,Refrain from crossing the green light if it would obstruct traffic,3
"A power of attorney to sell a vehicle is
valid for not more than:",One month,Three months,Two months,3
A broken line on the road means:,"You can travel on
the line","You cannot cross
the line",You can cross the line,3
Vehicles of all types cannot be fitted in the front with lights other than:,Blue or yellow,White or blue,White or yellow,3
"If the road is divided into two lanes with a yellow line, the driver should, in normal traffic situation:",Use the middle lane,Use the left lane,Use the right lane,3
If the lane is marked with a solid yellow line and a broken yellow line:,"The driver can change lane if the solid line is to the right, and cannot change lane if the broken line is to the
right",The driver cannot change lane if the solid or borken line is to the right,"The driver can change lane if the broken line is to the right, and cannot change lane if the solid line is to the right",3
"The driver should give the right of way
to:",Vehicles,Trucks,Pedestrians,3
"In steep descents, the right of way
goes to:","It depends on the
road itself","Vehicles moving
upwards","vehicles moving
downwards",2
"Inside cities, you should always keep a
safe distance of:",1 second,2 meters,2 seconds,3
"In entering a roundabout, the right of way is for:",The vehicle on the left,The vehicle on the right,"The vehicle that is already in the
roundabout",3
Overtaking is not allowed in:,Mutliple lane tunnels,Double lane tunnels,Single lane tunnels,3
"In case of road works, the driver
should:","Turn on his vehicle
lights",Drive fast,Reduce speed,3
"Children below the age of five should
be seated:",In their parents laps,In the back seats,In child seats,3
"When vehicles are still approaching an intersection, the right of way is always for the driver coming from:",Inside the intersection,The left,The right,3
"When overtaking a motorbike, the driver should keep a side distance of
no less than:",65 CM,70 CM,75 CM,3
"When overtaking another vehicle, the driver should keep a side distance of
no less than:",45 CM,60 CM,50 CM,3
Drivers are prohibited to obstruct traffic by:,Stopping slowly,Travelling below the lower speed limit,"Stopping suddenly without a valid reason
to do so",3
"When you meet head-on with another
vehicle on a two-way road, who should reverse?",Heavy vehicles for a single vehicle,A group of vehicles for a single vehicle,A single vehicle for a group of vehicles,3
Who has the right of way on a three forked road?,The driver who proceeds cautiously,The driver on the right side,The driver who is on the straight lane,3
"When you see on the freeway a sign that indicates that there is a road diversion or that the lane you are on will lead you to another direction, all drivers wishing to exist the lane should:",Swerve very quickly to the lane that will take them to the desired direction to avoid obstructing traffic,Swerve immediately left or right to the lane that will take them to the desired direction to avoid obstructing traffic,Swerve gradually left or right to the lane that will take them to the desired direction,3
Seat belts should be fastened by passengers sitting:,"In the front and back seats when on the highway, in all types of vehicles","In the front seats, in all types of vehicles","In the front and back seats, in all types of vehicles and on all roads",3
"When the traffic policeman lifts his
hand vertically, it means:","You have to slow
down","Traffic ahead has
come to a halt","""Careful and stop"" to
all road users",3
"When the traffic policeman's both hands are stretched horizontally, it means:","""Slow down"" -- for all road users coming from directions that cross with the strecthed hands directions","""Make Way"" -- for all road users coming from directions that cross with the strecthed hands directions","""Stop"" -- for all road users coming from directions that cross with the strecthed hands directions",3
Every vehicle should be fitted with,A registration plate at the back side of the vehicle,"Two registration plates with the vehicle number, at front or back side of the vehicles","Two registration plates with the vehicle number, at the front and back sides of the vehicles",3
"Up until the age of 50, the driver should renew his driving license, every",20 years,5 years,10 years,3
Warning sounds can be used only:,To alert other drivers that they should move quickly,To escape heavy traffic,To alarm other road users so as to avoid accidents,3
In case there is no sign that indicates which side of the vehicle should be used to step out of the vehicle,"The passenger should step out from the side that is easier for his movement and that he deems
appropriate",The passenger should step in and out of the vehicle from the door that is on the same side of traffic,The passenger should step in and out of the vehicle from the door that is on the other side of traffic,3
"When the driver waives his hand up
and down, it means:",Car brekadown,Direction to the left,Slow down and stop,3
"When the driver streches his hand
horizontally, it means the driver is:",Reversing,Slowing down,Turning left,3
"When the driver streches his hand
vertically, it means:",Stop,Direction to the left,Direction to the right,3
Vehicles turning right can cross a red light provided:,They do it quickly,Vehicles turning right cannot cross a red light,"They stop at the traffic light, make sure they can cross without putting pedestrians and  vehicles at risk",3
When the road is marked with solid lines:,"The driver can change lanes, but has to do it quickly","The driver can change lanes, provided he makes sure there is enough gap in the other lane",The driver cannot change lanes,3
"Children under           cannot sit in the
front seat:",10 years,12 years,8 years,1
It is strictly prohibited to throw stuff from the vehicle as this would:,Obstruct policemen,"Cause road markings to fade
away","Cause accidents, and clog water drainage
system",3
What is the difference between yellow lines and white lines when they are in the middle of the road?,"Yellow lines are used on road sides only, whereas white lines are used to mark vehicle lanes",Yellow lines are used for one-way roads whereas white lines are used for two-way streets,"White lines demarcate lanes that go in the same direction, yellow lines are demarcate lanes that go in opposite directions",3
"Drivers cannot stop and park within a distance of             from the top edge of ascent, curb, intersection, roundabout, and traffic light",50 meters,30 meters,25 meters,3
Drivers are strictly prohibited to:,Transport expired bottles or cans o alcohol,"Transport in their vehicles bottles or cans of  alcohol that have the
manufacturer seal",Transport in their vehicles unsealed bottles or cans of alcohol,3
Drivers should stop and park:,On white pedestrian crossing  stripes,"After white
pedestrian crossing stripes","Before white
pedestrian crossing stripes",3
Drivers are strictly prohibited to:,"Cross white broken
lines","Travel between
white lines",Travel on white lines,3
